Category: All categories

Month,taylor swift: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,<1
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,1
2006-08,1
2006-09,2
2006-10,2
2006-11,4
2006-12,3
2007-01,3
2007-02,3
2007-03,3
2007-04,4
2007-05,5
2007-06,4
2007-07,4
2007-08,4
2007-09,3
2007-10,4
2007-11,7
2007-12,8
2008-01,7
2008-02,7
2008-03,6
2008-04,7
2008-05,8
2008-06,7
2008-07,6
2008-08,7
2008-09,12
2008-10,11
2008-11,25
2008-12,19
2009-01,17
2009-02,19
2009-03,16
2009-04,13
2009-05,16
2009-06,18
2009-07,15
2009-08,16
2009-09,51
2009-10,22
2009-11,36
2009-12,26
2010-01,20
2010-02,23
2010-03,14
2010-04,14
2010-05,13
2010-06,10
2010-07,9
2010-08,15
2010-09,17
2010-10,29
2010-11,31
2010-12,25
2011-01,22
2011-02,19
2011-03,13
2011-04,14
2011-05,14
2011-06,15
2011-07,14
2011-08,17
2011-09,13
2011-10,15
2011-11,21
2011-12,17
2012-01,14
2012-02,18
2012-03,15
2012-04,15
2012-05,11
2012-06,11
2012-07,10
2012-08,19
2012-09,21
2012-10,35
2012-11,32
2012-12,34
2013-01,32
2013-02,25
2013-03,22
2013-04,18
2013-05,19
2013-06,17
2013-07,17
2013-08,20
2013-09,13
2013-10,10
2013-11,14
2013-12,13
2014-01,15
2014-02,11
2014-03,8
2014-04,9
2014-05,8
2014-06,8
2014-07,7
2014-08,21
2014-09,15
2014-10,24
2014-11,44
2014-12,33
2015-01,30
2015-02,28
2015-03,20
2015-04,20
2015-05,27
2015-06,23
2015-07,27
2015-08,25
2015-09,23
2015-10,20
2015-11,16
2015-12,16
2016-01,14
2016-02,22
2016-03,13
2016-04,15
2016-05,12
2016-06,21
2016-07,29
2016-08,12
2016-09,11
2016-10,10
2016-11,12
2016-12,10
2017-01,9
2017-02,8
2017-03,7
2017-04,6
2017-05,7
2017-06,8
2017-07,6
2017-08,31
2017-09,16
2017-10,12
2017-11,23
2017-12,17
2018-01,10
2018-02,7
2018-03,8
2018-04,8
2018-05,12
2018-06,9
2018-07,13
2018-08,9
2018-09,8
2018-10,11
2018-11,5
2018-12,6
2019-01,8
2019-02,6
2019-03,6
2019-04,12
2019-05,10
2019-06,12
2019-07,11
2019-08,18
2019-09,10
2019-10,10
2019-11,13
2019-12,10
2020-01,7
2020-02,12
2020-03,7
2020-04,6
2020-05,7
2020-06,5
2020-07,14
2020-08,10
2020-09,7
2020-10,6
2020-11,7
2020-12,14
2021-01,7
2021-02,9
2021-03,10
2021-04,10
2021-05,7
2021-06,7
2021-07,6
2021-08,7
2021-09,6
2021-10,7
2021-11,29
2021-12,10
2022-01,9
2022-02,10
2022-03,7
2022-04,9
2022-05,11
2022-06,7
2022-07,8
2022-08,10
2022-09,10
2022-10,25
2022-11,51
2022-12,16
2023-01,15
2023-02,16
2023-03,29
2023-04,41
2023-05,58
2023-06,42
2023-07,49
2023-08,50
2023-09,63
2023-10,81
2023-11,62
2023-12,58
2024-01,61
2024-02,100
2024-03,41
2024-04,59
2024-05,39
2024-06,36
2024-07,31
2024-08,31
2024-09,40
2024-10,27
